country,product,type,year,yield,unit
Fiji,Taro,crop,2020,420,tonnes
Fiji,Taro,crop,2021,438,tonnes
Fiji,Taro,crop,2022,451,tonnes
Fiji,Cassava,crop,2020,510,tonnes
Fiji,Cassava,crop,2021,500,tonnes
Fiji,Pigs,livestock,2020,230,head
Fiji,Pigs,livestock,2021,245,head
Samoa,Taro,crop,2020,320,tonnes
Samoa,Taro,crop,2021,334,tonnes
Samoa,Taro,crop,2022,348,tonnes
Samoa,Poultry,livestock,2020,180,head
Samoa,Poultry,livestock,2021,190,head
Tonga,Yam,crop,2020,285,tonnes
Tonga,Yam,crop,2021,292,tonnes
Vanuatu,Cattle,livestock,2020,150,head
Vanuatu,Cattle,livestock,2021,157,head

